employee_id,age,gender,department,job_level,workload,overtime_hours,job_satisfaction,stress_level,sleep_quality,work_life_balance,burnout_risk
1,59,Male,Support,5,48,20,4,8,1,3,1
2,49,Male,IT,3,60,21,4,2,9,2,1
3,35,Male,Operations,5,67,0,4,1,7,1,0
4,28,Male,Support,3,51,29,5,2,3,3,1
5,41,Female,IT,4,43,27,5,2,2,1,1
6,59,Male,HR,3,22,17,1,7,3,4,0
7,39,Female,IT,2,46,6,3,1,2,2,0
8,43,Female,Operations,1,28,21,1,3,2,2,0
9,31,Female,Marketing,3,59,5,3,5,4,3,1
10,31,Female,Marketing,1,42,5,1,7,6,2,0
11,44,Female,HR,4,26,13,5,6,3,1,0
12,56,Female,Operations,4,36,29,4,8,9,1,1
13,44,Male,IT,2,56,22,2,1,5,3,1
14,23,Male,Marketing,2,26,25,1,7,5,3,0
15,42,Male,Sales,3,49,11,1,9,7,3,1
16,22,Male,Finance,5,32,13,2,7,9,3,0
17,44,Male,Operations,4,37,13,1,6,1,4,0
18,50,Female,Support,1,50,11,4,9,9,1,1
19,58,Male,Support,5,41,8,2,4,2,1,0
20,22,Male,Sales,4,33,8,2,6,3,1,0
21,41,Male,Sales,3,37,1,4,6,5,1,0
22,53,Female,Operations,4,54,17,4,3,4,4,1
23,32,Female,Finance,2,36,4,2,7,5,3,0
24,42,Female,Marketing,1,38,25,4,1,5,2,1
25,45,Male,Finance,1,50,22,4,8,5,1,1
26,47,Male,HR,2,58,11,4,8,5,2,1
27,48,Male,IT,5,55,13,2,8,2,4,1
28,36,Male,IT,2,34,27,1,9,1,4,1
29,35,Male,Sales,1,48,12,3,4,8,3,0
30,23,Female,Marketing,3,59,2,2,6,3,4,1
31,57,Male,Finance,5,35,14,3,7,7,3,0
32,27,Female,Sales,4,52,14,4,2,8,2,0
33,41,Male,Operations,3,44,2,4,6,6,4,0
34,29,Female,Sales,5,35,19,1,8,6,3,0
35,59,Female,Operations,1,49,18,4,4,3,2,1
36,38,Female,Operations,1,53,14,3,5,9,1,1
37,24,Female,HR,3,21,18,2,8,3,3,0
38,45,Male,HR,5,59,7,2,3,5,3,1
39,34,Male,Operations,4,63,22,1,6,6,2,1
40,29,Male,Marketing,4,62,12,3,1,1,2,1
